pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
250.76,9H 12M 30.4789999999994S,14.1081,4.597809,2.41,0.1708,1.7523912,14.091464,14.0704,38.5792,28.9411,3.611,156.73,0,33150.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
251.351,9H 12M 31.4789999999994S,14.1077,4.598181,2.4074,0.1691,1.7524929,14.090098,14.07,38.5828,28.9439,3.6048,156.462,0,33151.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
251.898,9H 12M 32.4789999999994S,14.1083,4.598487,2.406,0.1502,1.7532052,14.090781,14.0705,38.5849,28.9454,3.607,156.556,0,33152.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
252.592,9H 12M 33.4789999999994S,14.1088,4.598772,2.4055,0.1432,1.7539174,14.090781,14.0708,38.5868,28.9468,3.6075,156.58,0,33153.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
252.761,9H 12M 34.4789999999994S,14.1088,4.598728,2.4055,0.1418,1.7549858,14.091464,14.0708,38.5863,28.9465,3.6086,156.628,0,33154.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
252.928,9H 12M 35.4789999999994S,14.1088,4.598745,2.4054,0.1459,1.7554437,14.091464,14.0708,38.5863,28.9465,3.6065,156.536,0,33155.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
253.361,9H 12M 36.4789999999994S,14.1088,4.598832,2.4044,0.1542,1.7556472,14.090781,14.0708,38.587,28.947,3.6025,156.36,0,33156.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
254.138,9H 12M 37.4789999999994S,14.1085,4.598995,2.4028,0.155,1.7559015,14.091464,14.0703,38.5885,28.9482,3.5968,156.113,0,33157.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
254.765,9H 12M 38.4789999999994S,14.1085,4.599316,2.4004,0.1646,1.7569699,14.091464,14.0702,38.5913,28.9504,3.5926,155.929,0,33158.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
255.164,9H 12M 39.4789999999994S,14.1084,4.599444,2.3991,0.1599,1.7575804,14.091464,14.0701,38.5924,28.9513,3.5923,155.919,0,33159.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
255.576,9H 12M 40.4789999999994S,14.1082,4.599572,2.3978,0.168,1.7580383,14.092146,14.0698,38.5935,28.9523,3.5908,155.852,0,33160.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
255.876,9H 12M 41.4789999999994S,14.108,4.599597,2.3972,0.1649,1.7584453,14.093511,14.0696,38.5939,28.9526,3.5906,155.845,0,33161.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
256.182,9H 12M 42.4789999999994S,14.1076,4.599592,2.3966,0.1503,1.7584962,14.090781,14.0691,38.5941,28.9528,3.5895,155.798,0,33162.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
256.716,9H 12M 43.4789999999994S,14.1078,4.599732,2.3961,0.1577,1.7587506,14.091464,14.0693,38.595,28.9535,3.5895,155.798,0,33163.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
257.46,9H 12M 44.4789999999994S,14.1077,4.599905,2.3956,0.1694,1.7588523,14.090781,14.069,38.5964,28.9547,3.587,155.689,0,33164.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
258.039,9H 12M 45.4789999999994S,14.1074,4.599992,2.3946,0.1638,1.7594628,14.090781,14.0686,38.5973,28.9554,3.586,155.646,0,33165.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
258.162,9H 12M 46.4789999999994S,14.1076,4.599996,2.3939,0.1584,1.7600733,14.091464,14.0688,38.5971,28.9552,3.5843,155.572,0,33166.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
258.606,9H 12M 47.4789999999994S,14.1075,4.600227,2.3933,0.1574,1.7605312,14.090781,14.0687,38.5991,28.9568,3.5828,155.503,0,33167.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
259.132,9H 12M 48.4789999999994S,14.1076,4.600339,2.392,0.1538,1.7607856,14.091464,14.0687,38.5998,28.9574,3.5791,155.345,0,33168.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
259.667,9H 12M 49.4789999999994S,14.1077,4.600408,2.3912,0.154,1.7605821,14.091464,14.0687,38.6001,28.9576,3.5794,155.359,0,33169.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
260.161,9H 12M 50.4789999999994S,14.1078,4.600539,2.3906,0.1442,1.7613452,14.090781,14.0687,38.6011,28.9583,3.5801,155.388,0,33170.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
260.601,9H 12M 51.4789999999994S,14.1078,4.600636,2.3911,0.1476,1.7615995,14.090781,14.0687,38.6017,28.9589,3.5826,155.498,0,33171.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
261.108,9H 12M 52.4789999999994S,14.1079,4.600701,2.3909,0.1495,1.7623627,14.091464,14.0687,38.602,28.9591,3.5801,155.388,0,33172.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
261.373,9H 12M 53.4789999999994S,14.108,4.60072,2.3902,0.1486,1.7625153,14.090781,14.0687,38.602,28.9591,3.577,155.251,0,33173.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
261.587,9H 12M 54.4789999999994S,14.1081,4.600757,2.3887,0.153,1.7626679,14.091464,14.0688,38.6022,28.9592,3.5714,155.008,0,33174.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
262.323,9H 12M 55.4789999999994S,14.1087,4.60106,2.387,0.1547,1.7629732,14.090781,14.0693,38.6041,28.9605,3.5692,154.914,0,33175.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
262.879,9H 12M 56.4789999999994S,14.1088,4.601151,2.3856,0.152,1.7632784,14.090781,14.0693,38.6046,28.961,3.5673,154.832,0,33176.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
263.333,9H 12M 57.4789999999994S,14.1091,4.601262,2.3846,0.1629,1.7636345,14.091464,14.0696,38.6052,28.9613,3.5657,154.761,0,33177.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
263.905,9H 12M 58.4789999999994S,14.1095,4.601504,2.3835,0.1674,1.7639907,14.090781,14.0699,38.6068,28.9625,3.5641,154.692,0,33178.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
264.38,9H 12M 59.4789999999994S,14.1095,4.6018,2.3825,0.1651,1.764652,14.092146,14.0698,38.6094,28.9645,3.5612,154.564,0,33179.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
264.5,9H 13M 0.47899999999936S,14.1095,4.601807,2.3811,0.161,1.7648047,14.090781,14.0698,38.6094,28.9646,3.5556,154.324,0,33180.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
264.958,9H 13M 1.47899999999936S,14.1098,4.602457,2.3785,0.1636,1.7650082,14.090781,14.07,38.615,28.9688,3.5491,154.041,0,33181.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
