pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
356.462,10H 1M 25.4789999999994S,13.6998,4.56553,2.2665,0.1495,1.83954,13.680893,13.6471,38.6369,29.0772,3.3883,147.045,0,36085.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
357.122,10H 1M 26.4789999999994S,13.7051,4.566378,2.266,0.1658,1.8397944,13.680893,13.6523,38.6393,29.0779,3.3873,147.003,0,36086.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
358.23,10H 1M 27.4789999999994S,13.7142,4.56774,2.2659,0.1744,1.8395909,13.68226,13.6612,38.6426,29.0786,3.3884,147.049,0,36087.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
358.829,10H 1M 28.4789999999994S,13.7182,4.568262,2.2661,0.1741,1.8393365,13.690464,13.6651,38.6433,29.0783,3.388,147.034,0,36088.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
358.904,10H 1M 29.4789999999994S,13.7127,4.567459,2.2656,0.1728,1.8394383,13.685679,13.6596,38.6412,29.0778,3.3861,146.951,0,36089.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
359.312,10H 1M 30.4789999999994S,13.7183,4.568322,2.2654,0.1729,1.83954,13.68773,13.6651,38.6436,29.0785,3.3883,147.045,0,36090.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
360.3,10H 1M 31.4789999999994S,13.7197,4.568558,2.266,0.1645,1.8392857,13.695934,13.6663,38.6439,29.0785,3.3892,147.084,0,36091.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
361.332,10H 1M 32.4789999999994S,13.7205,4.568727,2.2657,0.1625,1.83954,13.699352,13.667,38.6443,29.0786,3.386,146.948,0,36092.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
361.579,10H 1M 33.4789999999994S,13.7204,4.568687,2.2645,0.1562,1.8392348,13.697985,13.6668,38.6439,29.0784,3.3828,146.805,0,36093.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
361.637,10H 1M 34.4789999999994S,13.7198,4.568631,2.2641,0.1537,1.8389295,13.697301,13.6662,38.6439,29.0785,3.3852,146.91,0,36094.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
